tms_inds,tms_vals
"[1, 1, 1]",1
"[1, 1, 5]",1
"[1, 5, 5]",1
"[2, 2, 2]",5
"[2, 2, 3]",1
"[2, 2, 6]",1
"[2, 2, 8]",1
"[2, 2, 9]",1
"[2, 2, 10]",1
"[2, 3, 3]",1
"[2, 6, 6]",1
"[2, 6, 9]",1
"[2, 8, 8]",1
"[2, 8, 10]",1
"[2, 9, 9]",1
"[2, 10, 10]",1
"[3, 3, 3]",3
"[3, 3, 4]",1
"[3, 3, 5]",1
"[3, 4, 4]",1
"[3, 4, 5]",1
"[3, 5, 5]",1
"[4, 4, 4]",2
"[4, 4, 5]",1
"[4, 5, 5]",1
"[5, 5, 5]",4
"[5, 5, 9]",1
"[5, 9, 9]",1
"[6, 6, 6]",2
"[6, 6, 9]",1
"[6, 9, 9]",1
"[7, 7, 7]",2
"[7, 7, 9]",1
"[7, 7, 10]",1
"[7, 9, 9]",1
"[7, 9, 10]",1
"[7, 10, 10]",1
"[8, 8, 8]",2
"[8, 8, 10]",1
"[8, 10, 10]",1
"[9, 9, 9]",5
"[9, 9, 10]",1
"[9, 10, 10]",1
"[10, 10, 10]",4
